"Country","Population2020"
"Algeria",43851044
"Angola",32866272
"Benin",12123200
"Botswana",2351627
"Burkina Faso",20903273
"Burundi",11890784
"Cabo Verde",555987
"Cameroon",26545863
"Central African Republic",4829767
"Chad",16425864
"Comoros",869601
"Congo",5518087
"Cote d'ivoire",26378274
"DRC",89561403
"Djibouti",988000
"Egypt",102334404
"Equatorial Guinea",1402985
"Eritrea",3546421
"Eswatini",1160164
"Ethiopia",114963588
"Gabon",2225734
"Gambia",2416668
"Ghana",31072940
"Guinea",13132795
"Guinea-Bissau",1968001
"Kenya",53771296
"Lesotho",2142249
"Liberia",5057681
"Libya",6871292
"Madagascar",27691018
"Malawi",19129952
"Mali",20250833
"Mauritania",4649658
"Mauritius",1271768
"Morocco",36910560
"Mozambique",31255435
"Namibia",2540905
"Niger",24206644
"Nigeria",206139589
"Rwanda",12952218
"Sao Tome & Principe",219159
"Senegal",16743927
"Seychelles",98347
"Sierra Leone",7976983
"Somalia",15893222
"South Africa",59308690
"South Sudan",11193725
"Sudan",43849260
"Tanzania",59734218
"Togo",8278724
"Tunisia",11818619
"Uganda",45741007
"Zambia",18383955
"Zimbabwe",14862924
