"Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Incident_Rate","People_Tested","People_Hospitalized","Mortality_Rate","UID","ISO3"
"Australia","2020-08-05 17:34:44",-25,133,19444,247,10941,8256,76.3716775924304,NA,NA,1.27031475005143,36,"AUS"
"Austria","2020-08-05 17:34:44",47.5162,14.5501,21566,719,19464,1383,239.451945283354,NA,NA,3.33395159046648,40,"AUT"
"Canada","2020-08-05 17:34:44",60.001,-95.001,119855,9007,104158,6691,316.610163509846,NA,NA,7.51491385424054,124,"CAN"
"China","2020-08-05 17:34:44",30.5928,114.3055,88291,4677,81407,2207,6.285504931944,NA,NA,5.29725566592291,156,"CHN"
"Denmark","2020-08-05 17:34:44",56.2639,9.5018,14440,616,12958,866,249.300654690452,NA,NA,4.26592797783934,208,"DNK"
"Finland","2020-08-05 17:34:44",61.9241,25.7482,7512,331,6980,201,135.578096557161,NA,NA,4.4062832800852,246,"FIN"
"France","2020-08-05 17:34:44",46.2276,2.2137,228576,30297,81764,116515,350.181862437554,NA,NA,13.2546724065519,250,"FRA"
"Germany","2020-08-05 17:34:44",51.165691,10.451526,213623,9179,194568,9876,254.968896487269,NA,NA,4.29682197141694,276,"DEU"
"Iceland","2020-08-05 17:34:44",64.9631,-19.0208,1926,10,1825,91,564.395604395604,NA,NA,0.519210799584631,352,"ISL"
"Ireland","2020-08-05 17:34:44",53.1424,-7.6921,26303,1763,23364,1176,532.687053090083,NA,NA,6.70265749154089,372,"IRL"
"Italy","2020-08-05 17:34:44",41.8719,12.5674,248803,35181,200976,12646,411.5042634834,NA,NA,14.1401028122651,380,"ITA"
"Netherlands","2020-08-05 17:34:44",52.3167,5.55,56744,6173,207,50364,331.160902097144,NA,NA,10.8786832087974,528,"NLD"
"Norway","2020-08-05 17:34:44",60.472,8.4689,9388,256,8752,380,173.170649825261,NA,NA,2.72688538559864,578,"NOR"
"Russia","2020-08-05 17:34:44",61.524,105.3188,864948,14465,667769,182714,592.696200746554,NA,NA,1.67235486988813,643,"RUS"
"Sweden","2020-08-05 17:34:44",60.1282,18.6435,81540,5760,NA,75780,807.385088229149,NA,NA,7.06401766004415,752,"SWE"
"Switzerland","2020-08-05 17:34:44",46.8182,8.2275,35746,1981,31600,2165,413.028050458148,NA,NA,5.54187881161529,756,"CHE"
"United Kingdom","2020-08-05 17:34:44",55,-3,307258,46295,1445,259518,452.608758647806,NA,NA,15.067142271316,826,"GBR"
"US","2020-08-05 17:34:44",40,-100,4789383,157266,1528979,2287089,1453.67925251398,NA,NA,3.28363799679416,840,"USA"
"Spain","2020-08-05 17:34:44",40.463667,-3.74922,305767,28499,150376,126893,653.980150009465,NA,NA,9.32049567154075,724,"ESP"
"Mexico","2020-08-05 17:34:44",23.6345,-102.5528,449961,48869,357444,43648,352.103412564355,NA,NA,10.8607190400946,484,"MEX"
"Chile","2020-08-05 17:34:44",-35.6751,-71.543,364723,9792,338291,16640,1907.92536323494,NA,NA,2.6847772144888,152,"CHL"
"Brazil","2020-08-05 17:34:44",-14.235,-51.9253,2801921,95819,2157553,548549,1318.1825322068,NA,NA,3.41976094258189,76,"BRA"
"Peru","2020-08-05 17:34:44",-9.19,-75.0152,439890,20007,302457,117426,1334.13822204556,NA,NA,4.5481825001705,604,"PER"
"Colombia","2020-08-05 17:34:44",4.5709,-74.2973,334979,11315,180258,143406,658.333360192398,NA,NA,3.37782368446977,170,"COL"
"Japan","2020-08-05 17:34:44",36.204824,138.252924,42663,1028,28020,13615,33.7319693124233,NA,NA,2.40958207345944,392,"JPN"
"Ukraine","2020-08-05 17:34:44",48.3794,31.1656,77169,1813,42784,32572,176.451788651417,NA,NA,2.34938900335627,804,"UKR"
"India","2020-08-05 17:34:44",20.593684,78.96288,1908254,39795,1282215,586244,138.278835976307,NA,NA,2.08541420586568,356,"IND"
"Pakistan","2020-08-05 17:34:44",30.3753,69.3451,281136,6014,254286,20836,127.272865801756,NA,NA,2.139178191338,586,"PAK"
"Afghanistan","2020-08-05 17:34:44",33.93911,67.709953,36829,1294,25742,9793,94.6071655095705,NA,NA,3.51353552906677,4,"AFG"
"Albania","2020-08-05 17:34:44",41.1533,20.1683,5889,182,3123,2584,204.635485440267,NA,NA,3.09050772626932,8,"ALB"
"Algeria","2020-08-05 17:34:44",28.0339,1.6596,33055,1261,22375,9419,75.3801910709399,NA,NA,3.81485403116019,12,"DZA"
"Andorra","2020-08-05 17:34:44",42.5063,1.5218,939,52,825,62,1215.29800038827,NA,NA,5.53780617678381,20,"AND"
"Angola","2020-08-05 17:34:44",-11.2027,17.8739,1344,59,503,782,4.08929909535211,NA,NA,4.38988095238095,24,"AGO"
"Antigua and Barbuda","2020-08-05 17:34:44",17.0608,-61.7964,92,3,75,14,93.9465729924026,NA,NA,3.26086956521739,28,"ATG"
"Argentina","2020-08-05 17:34:44",-38.4161,-63.6167,213535,4009,96948,112578,472.466708559961,NA,NA,1.87744397873885,32,"ARG"
"Armenia","2020-08-05 17:34:44",40.0691,45.0382,39586,770,30850,7966,1335.90529806286,NA,NA,1.94513211741525,51,"ARM"
"Azerbaijan","2020-08-05 17:34:44",40.1431,47.5769,33103,476,28840,3787,326.486129295529,NA,NA,1.43793613871855,31,"AZE"
"Bahamas","2020-08-05 17:34:44",25.025885,-78.035889,715,14,91,610,181.819106518024,NA,NA,1.95804195804196,44,"BHS"
"Bahrain","2020-08-05 17:34:44",26.0275,50.55,42132,153,39335,2644,2476.04730418675,NA,NA,0.363144403303902,48,"BHR"
"Bangladesh","2020-08-05 17:34:44",23.685,90.3563,246674,3267,141750,101657,149.781361437246,NA,NA,1.32442008480829,50,"BGD"
"Barbados","2020-08-05 17:34:44",13.1939,-59.5432,132,7,98,27,45.9336537089685,NA,NA,5.3030303030303,52,"BRB"
"Belarus","2020-08-05 17:34:44",53.7098,27.9534,68376,577,63425,4374,723.6075480979,NA,NA,0.843863343863344,112,"BLR"
"Belgium","2020-08-05 17:34:44",50.8333,4.469936,70648,9852,17639,43157,609.580162103731,NA,NA,13.9451930698675,56,"BEL"
"Belize","2020-08-05 17:34:44",17.1899,-88.4976,72,2,31,39,18.1076955190998,NA,NA,2.77777777777778,84,"BLZ"
"Benin","2020-08-05 17:34:44",9.3077,2.3158,1914,38,1036,840,15.7879133872102,NA,NA,1.98537095088819,204,"BEN"
