"Country","Health expenditure Current % of GDP 2017","Health expenditure Public % of current 2017","Health expenditure Out of pocket % of current 2017","Health expenditure per capita $ 2017","Health expenditure per capita current PPP $ 2017","External health expenditure (% of current health expenditure)   2017","Health workers Physicians per 1,000 people 2013-18","Health workers Nurses and midwives per 1,000 people 2013-18","Specialist surgical workforce  per 100,000 population 2008-18","Completeness of birth registration  % 2013-18","Completeness of death registration  % 2008-16"
"Afghanistan",11.8,5.1,75.5,67.1,174.7,19.4,0.3,0.2,0,42.3,NA
"Albania",NA,NA,NA,NA,NA,NA,1.2,3.6,11.6,98.4,53
"Algeria",6.4,66,32.5,258.5,974.8,0,1.7,1.5,12.1,100,NA
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",10.3,49,41.8,NA,NA,0,3.3,4,83.1,100,100
"Angola",2.8,46.3,34.1,114.5,185.9,3.1,0.2,0.4,NA,25,NA
"Antigua and Barbuda",4.5,47,35,673.9,NA,0,3,4.5,14,NA,83
"Argentina",9.1,72.4,15,NA,NA,0.5,4,2.6,50.1,NA,100
"Armenia",10.4,13.2,84.3,407.6,NA,1.3,4.4,6.1,86.7,99.3,100
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",9.2,68.9,18.2,NA,NA,0,3.7,12.6,45.1,100,100
"Austria",10.4,72.4,19.2,NA,NA,0,5.2,7.1,109.9,100,100
"Azerbaijan",6.7,15.1,83.9,275.8,NA,0.4,3.4,6.4,67.6,NA,NA
"Bahamas, The",5.8,43.9,31,NA,NA,0.6,2,4.6,NA,NA,89
"Bahrain",4.7,58,30.6,NA,NA,0,0.9,2.5,14.4,NA,96
"Bangladesh",2.3,16.7,73.9,36.3,94.3,6.8,0.6,0.4,2.9,20.2,NA
"Barbados",6.8,44.2,46.3,NA,NA,2,2.5,3.1,17.2,NA,79
"Belarus",5.9,70,27.5,342.5,NA,0.4,5.2,11,124.2,NA,100
"Belgium",10.3,77.2,17.6,NA,NA,0,3.1,19.5,89.8,100,100
"Belize",5.6,68,24.2,280.5,481,1.6,1.1,2.3,10.5,96,89
"Benin",3.7,30,45,30.8,84.7,19.3,0.1,0.4,1.9,85.6,NA
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",3.2,74.5,13.3,96.8,290.4,11.2,0.4,1.9,2.9,NA,NA
"Bolivia",6.4,68.5,25.1,220.3,491.7,2.3,1.6,1.6,33.9,92,NA
"Bosnia and Herzegovina",8.9,70.5,29.1,460.5,NA,0,2.2,5.7,32.3,NA,95
"Botswana",6.1,75.7,3,465.9,NA,9.6,0.5,5.4,3.6,88,NA
"Brazil",9.5,41.9,27.5,928.8,NA,0.1,2.2,10.1,55.5,96,99
"Brunei Darussalam",2.4,94.8,5.2,671.4,NA,0,1.6,5.9,NA,NA,100
"Bulgaria",8.1,51.9,46.6,663.7,NA,0,4,4.8,112.7,NA,100
"Burkina Faso",6.9,43.3,31.7,44.4,129.1,18,0.1,0.9,0.6,NA,NA
"Burundi",7.5,24.7,25.5,23.5,59.2,31,0.1,0.9,0.4,83.5,NA
"Cabo Verde",5.2,60.2,28.9,167.6,357.1,8.3,0.8,1.3,16,NA,93
"Cambodia",5.9,23.8,60.4,82.1,238.2,15.1,0.2,0.7,4.2,73.3,NA
"Cameroon",4.7,13.3,71,67.8,173.9,7.7,NA,NA,1.2,66,NA
"Canada",10.6,73.7,14.2,NA,NA,0,2.6,9.9,43.9,100,100
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,156.8,NA,NA
"Central African Republic",5.8,12.8,31.2,24.2,42,55.2,0.1,0.2,0.4,NA,NA
"Chad",4.5,15.8,58,29.7,87.3,21.1,0,0.2,0.3,12,NA
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA
"Chile",9,50.1,33.5,NA,NA,0,2.6,13.3,59.3,NA,95
"China",5.2,56.7,36.1,440.8,841.1,0,2,2.7,40.1,NA,62
"Hong Kong SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,27.8,NA,NA
"Macao SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",7.2,67.8,16.3,459.2,NA,0,2.2,1.3,22.7,96.8,80
"Comoros",7.4,12.7,74.6,58.8,123.2,11.1,0.3,0.6,NA,NA,NA
"Congo, Dem. Rep.",4,9.9,40.1,19.4,37.3,42.5,0.1,1.1,0.2,24.6,NA
"Congo, Rep.",2.9,40.7,48.4,50,164.8,7.5,NA,0.6,0.2,96,NA
"Costa Rica",7.3,73.5,21.3,869.1,NA,0.1,2.9,3.4,25.5,100,87
"Cote d'Ivoire",4.5,28.5,39.4,69.7,175.7,13.1,0.2,0.6,2.8,72,NA
"Croatia",6.8,82.8,11,902.1,NA,0,3,8.1,81.2,100,100
"Cuba",11.7,89.4,10.5,987.6,NA,0.1,8.4,7.6,100.9,100,100
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
