"Date","Province","Confirmed","Days","ActiveCases"
2020-03-05,"EC",0,-16,0
2020-03-07,"EC",0,-14,0
2020-03-08,"EC",0,-13,0
2020-03-09,"EC",0,-12,0
2020-03-11,"EC",0,-10,0
2020-03-12,"EC",0,-9,0
2020-03-13,"EC",0,-8,0
2020-03-14,"EC",0,-7,0
2020-03-15,"EC",0,-6,0
2020-03-16,"EC",0,-5,0
2020-03-17,"EC",0,-4,0
2020-03-18,"EC",0,-3,0
2020-03-19,"EC",0,-2,0
2020-03-20,"EC",0,-1,0
2020-03-21,"EC",1,0,1
2020-03-22,"EC",2,1,2
2020-03-23,"EC",2,2,2
2020-03-24,"EC",2,3,2
2020-03-25,"EC",2,4,2
2020-03-26,"EC",5,5,5
2020-03-27,"EC",NA,6,NA
2020-03-28,"EC",10,7,10
2020-03-29,"EC",12,8,12
2020-03-30,"EC",12,9,12
2020-03-31,"EC",12,10,12
2020-04-01,"EC",15,11,15
2020-04-02,"EC",17,12,17
2020-04-03,"EC",21,13,21
2020-04-04,"EC",25,14,25
2020-04-05,"EC",31,15,31
2020-04-06,"EC",32,16,32
2020-04-07,"EC",NA,17,NA
2020-04-08,"EC",45,18,45
2020-04-09,"EC",61,19,61
2020-04-10,"EC",68,20,68
2020-04-11,"EC",69,21,69
2020-04-12,"EC",88,22,88
2020-04-13,"EC",104,23,104
2020-04-14,"EC",174,24,174
2020-04-15,"EC",199,25,199
2020-04-16,"EC",220,26,216
2020-04-17,"EC",246,27,233
2020-04-18,"EC",270,28,257
2020-04-19,"EC",293,29,280
2020-04-20,"EC",310,30,290
2020-04-21,"EC",345,31,325
2020-04-22,"EC",377,32,357
2020-04-23,"EC",417,33,392
2020-04-24,"EC",480,34,455
2020-04-25,"EC",488,35,459
2020-04-26,"EC",535,36,506
2020-04-27,"EC",588,37,559
2020-04-28,"EC",616,38,587
2020-04-29,"EC",630,39,619
2020-04-30,"EC",647,40,636
2020-05-01,"EC",691,41,680
2020-05-02,"EC",732,42,444
2020-05-03,"EC",774,43,482
2020-05-04,"EC",814,44,456
2020-05-05,"EC",838,45,479
2020-05-06,"EC",849,46,443
2020-05-07,"EC",929,47,523
2020-05-08,"EC",989,48,580
2020-05-09,"EC",1078,49,1057
2020-05-10,"EC",1218,50,677
2020-05-11,"EC",1356,51,1332
2020-05-12,"EC",1504,52,1480
2020-05-13,"EC",1534,53,878
2020-05-14,"EC",1569,54,895
2020-05-15,"EC",1662,55,988
2020-05-16,"EC",1812,56,1034
2020-05-17,"EC",1936,57,1062
2020-05-18,"EC",2052,58,1174
2020-05-19,"EC",2135,59,1255
2020-05-20,"EC",2215,60,1134
2020-05-21,"EC",2324,61,1238
2020-05-22,"EC",2459,62,1370
2020-05-23,"EC",2569,63,1475
2020-05-24,"EC",2690,64,1296
2020-05-25,"EC",2748,65,1352
2020-05-26,"EC",2864,66,1303
2020-05-27,"EC",3047,67,1486
2020-05-28,"EC",3306,68,1529
2020-05-29,"EC",3583,69,1803
2020-05-30,"EC",3759,70,1690
2020-05-31,"EC",3927,71,1858
2020-06-01,"EC",4111,72,1906
2020-06-02,"EC",4324,73,2113
2020-06-03,"EC",4526,74,2308
2020-06-04,"EC",4936,75,2381
2020-06-05,"EC",5240,76,2685
2020-06-06,"EC",5629,77,2862
2020-06-07,"EC",5974,78,3207
2020-06-08,"EC",6341,79,3548
2020-06-09,"EC",6760,80,3108
2020-06-10,"EC",7154,81,3360
2020-06-11,"EC",7868,82,4043
2020-06-12,"EC",8615,83,4014
2020-06-13,"EC",9250,84,4474
2020-06-14,"EC",10027,85,4556
2020-06-15,"EC",10597,86,5030
2020-06-16,"EC",11039,87,5319
2020-06-17,"EC",11919,88,5823
2020-06-18,"EC",12639,89,6051
2020-06-19,"EC",13506,90,6918
2020-06-20,"EC",14721,91,6983
2020-06-21,"EC",15751,92,7728
2020-06-22,"EC",16895,93,8557
2020-06-23,"EC",18108,94,9518
2020-06-24,"EC",19214,95,9200
2020-06-25,"EC",20487,96,9685
2020-06-26,"EC",21938,97,10218
2020-06-27,"EC",23658,98,11082
2020-06-28,"EC",25099,99,12145
2020-06-29,"EC",26195,100,12974
2020-06-30,"EC",27686,101,13183
2020-07-01,"EC",29340,102,14517
2020-07-02,"EC",30603,103,14309
2020-07-03,"EC",32157,104,14295
2020-07-04,"EC",34161,105,14691
2020-07-05,"EC",35648,106,15639
2020-07-06,"EC",38081,107,17690
2020-07-07,"EC",40401,108,17815
2020-07-08,"EC",42357,109,17471
2020-07-09,"EC",44432,110,19518
2020-07-10,"EC",46284,111,16747
2020-07-11,"EC",48232,112,16651
2020-07-12,"EC",50300,113,18028
2020-07-13,"EC",52058,114,19266
2020-07-14,"EC",53959,115,18527
2020-07-15,"EC",55584,116,17466
2020-07-16,"EC",57186,117,16558
2020-07-17,"EC",58860,118,16381
2020-07-18,"EC",60976,119,16480
2020-07-19,"EC",63181,120,18039
2020-07-20,"EC",65316,121,19638
2020-07-21,"EC",66759,122,18551
2020-07-22,"EC",67818,123,16535
2020-07-23,"EC",69445,124,14461
2020-07-24,"EC",71338,125,14240
2020-07-25,"EC",72772,126,13791
2020-07-26,"EC",73585,127,13838
2020-07-27,"EC",74231,128,14012
2020-07-28,"EC",75067,129,12777
2020-07-29,"EC",75872,130,11922
2020-07-30,"EC",77055,131,11452
2020-07-31,"EC",77938,132,10718
2020-08-01,"EC",78782,133,10495
2020-08-02,"EC",79410,134,8989
2020-08-03,"EC",79674,135,7811
2020-08-04,"EC",79844,136,6592
2020-08-05,"EC",80400,137,5863
2020-03-05,"FS",0,-15,0
2020-03-07,"FS",0,-13,0
2020-03-08,"FS",0,-12,0
2020-03-09,"FS",0,-11,0
2020-03-11,"FS",0,-9,0
2020-03-12,"FS",0,-8,0
2020-03-13,"FS",0,-7,0
2020-03-14,"FS",0,-6,0
2020-03-15,"FS",0,-5,0
2020-03-16,"FS",0,-4,0
2020-03-17,"FS",0,-3,0
2020-03-18,"FS",0,-2,0
2020-03-19,"FS",0,-1,0
2020-03-20,"FS",7,0,7
2020-03-21,"FS",7,1,7
2020-03-22,"FS",9,2,9
2020-03-23,"FS",13,3,13
2020-03-24,"FS",18,4,18
2020-03-25,"FS",30,5,30
2020-03-26,"FS",49,6,49
2020-03-27,"FS",NA,7,NA
2020-03-28,"FS",68,8,68
2020-03-29,"FS",72,9,72
2020-03-30,"FS",72,10,71
2020-03-31,"FS",74,11,73
2020-04-01,"FS",76,12,76
2020-04-02,"FS",84,13,84
2020-04-03,"FS",84,14,83
2020-04-04,"FS",85,15,85
2020-04-05,"FS",87,16,86
2020-04-06,"FS",89,17,88
2020-04-07,"FS",NA,18,NA
2020-04-08,"FS",88,19,85
2020-04-09,"FS",93,20,90
2020-04-10,"FS",94,21,91
2020-04-11,"FS",94,22,91
2020-04-12,"FS",96,23,93
2020-04-13,"FS",96,24,93
2020-04-14,"FS",98,25,95
2020-04-15,"FS",97,26,94
2020-04-16,"FS",98,27,94
2020-04-17,"FS",100,28,25
2020-04-18,"FS",100,29,25
2020-04-19,"FS",100,30,25
2020-04-20,"FS",105,31,26
2020-04-21,"FS",106,32,27
2020-04-22,"FS",106,33,27
2020-04-23,"FS",106,34,25
2020-04-24,"FS",111,35,30
2020-04-25,"FS",111,36,30
2020-04-26,"FS",110,37,29
2020-04-27,"FS",111,38,30
2020-04-28,"FS",113,39,32
2020-04-29,"FS",113,40,108
2020-04-30,"FS",116,41,111
2020-05-01,"FS",118,42,113
2020-05-02,"FS",121,43,19
2020-05-03,"FS",122,44,20
2020-05-04,"FS",125,45,23
2020-05-05,"FS",128,46,26
2020-05-06,"FS",130,47,22
2020-05-07,"FS",134,48,26
2020-05-08,"FS",133,49,25
2020-05-09,"FS",134,50,128
2020-05-10,"FS",135,51,24
2020-05-11,"FS",135,52,129
2020-05-12,"FS",135,53,129
2020-05-13,"FS",138,54,25
2020-05-14,"FS",145,55,31
2020-05-15,"FS",151,56,37
2020-05-16,"FS",153,57,39
2020-05-17,"FS",158,58,44
2020-05-18,"FS",163,59,49
2020-05-19,"FS",168,60,44
2020-05-20,"FS",180,61,56
2020-05-21,"FS",184,62,60
2020-05-22,"FS",185,63,58
2020-05-23,"FS",196,64,69
2020-05-24,"FS",202,65,75
2020-05-25,"FS",208,66,81
2020-05-26,"FS",206,67,77
2020-05-27,"FS",221,68,92
2020-05-28,"FS",225,69,94
2020-05-29,"FS",231,70,99
2020-05-30,"FS",261,71,130
2020-05-31,"FS",278,72,146
2020-06-01,"FS",285,73,154
2020-06-02,"FS",299,74,168
2020-06-03,"FS",319,75,188
2020-06-04,"FS",322,76,185
2020-06-05,"FS",336,77,204
2020-06-06,"FS",348,78,187
2020-06-07,"FS",361,79,200
2020-06-08,"FS",373,80,212
2020-06-09,"FS",391,81,220
2020-06-10,"FS",401,82,230
2020-06-11,"FS",406,83,235
2020-06-12,"FS",435,84,237
2020-06-13,"FS",457,85,259
2020-06-14,"FS",495,86,264
2020-06-15,"FS",512,87,281
2020-06-16,"FS",578,88,347
2020-06-17,"FS",608,89,377
2020-06-18,"FS",649,90,405
2020-06-19,"FS",658,91,414
2020-06-20,"FS",700,92,455
2020-06-21,"FS",733,93,460
2020-06-22,"FS",772,94,499
2020-06-23,"FS",814,95,541
2020-06-24,"FS",889,96,616
2020-06-25,"FS",976,97,649
2020-06-26,"FS",1069,98,742
2020-06-27,"FS",1160,99,795
2020-06-28,"FS",1279,100,914
2020-06-29,"FS",1377,101,983
2020-06-30,"FS",1514,102,1120
2020-07-01,"FS",1672,103,1277
2020-07-02,"FS",1886,104,1491
2020-07-03,"FS",2130,105,1725
2020-07-04,"FS",2376,106,1930
2020-07-05,"FS",2553,107,2079
2020-07-06,"FS",2804,108,2306
2020-07-07,"FS",3034,109,2487
2020-07-08,"FS",3259,110,2712
2020-07-09,"FS",3724,111,3076
2020-07-10,"FS",4221,112,3573
2020-07-11,"FS",4679,113,3979
2020-07-12,"FS",5224,114,4524
2020-07-13,"FS",5632,115,4851
2020-07-14,"FS",5973,116,5192
2020-07-15,"FS",6561,117,5558
2020-07-16,"FS",7312,118,6234
2020-07-17,"FS",8290,119,7210
2020-07-18,"FS",9004,120,7924
2020-07-19,"FS",9993,121,8913
2020-07-20,"FS",10727,122,9542
2020-07-21,"FS",11352,123,10023
2020-07-22,"FS",12332,124,10955
2020-07-23,"FS",13443,125,11560
2020-07-24,"FS",14542,126,12606
2020-07-25,"FS",15512,127,13385
2020-07-26,"FS",16482,128,14344
2020-07-27,"FS",17222,129,14981
2020-07-28,"FS",18134,130,15802
2020-07-29,"FS",19207,131,16875
2020-07-30,"FS",20398,132,18066
2020-07-31,"FS",21262,133,14045
2020-08-01,"FS",22308,134,13257
2020-08-02,"FS",23099,135,13997
2020-08-03,"FS",23705,136,13351
2020-08-04,"FS",24333,137,13546
2020-08-05,"FS",25232,138,14323
2020-03-05,"GP",0,-2,0
2020-03-07,"GP",1,0,1
2020-03-08,"GP",1,1,1
2020-03-09,"GP",1,2,1
2020-03-11,"GP",5,4,5
2020-03-12,"GP",6,5,6
2020-03-13,"GP",10,6,10
2020-03-14,"GP",17,7,17
2020-03-15,"GP",24,8,24
2020-03-16,"GP",31,9,31
2020-03-17,"GP",45,10,45
2020-03-18,"GP",61,11,61
2020-03-19,"GP",76,12,76
2020-03-20,"GP",109,13,109
2020-03-21,"GP",125,14,125
2020-03-22,"GP",132,15,132
2020-03-23,"GP",207,16,207
2020-03-24,"GP",302,17,302
