"Date","Province","Deaths"
2020-03-27,"EC",0
2020-03-28,"EC",0
2020-03-30,"EC",0
2020-03-31,"EC",0
2020-04-03,"EC",0
2020-04-05,"EC",0
2020-04-06,"EC",0
2020-04-07,"EC",0
2020-04-08,"EC",0
2020-04-09,"EC",0
2020-04-10,"EC",0
2020-04-11,"EC",0
2020-04-12,"EC",0
2020-04-13,"EC",0
2020-04-14,"EC",0
2020-04-15,"EC",0
2020-04-16,"EC",4
2020-04-17,"EC",4
2020-04-18,"EC",4
2020-04-19,"EC",4
2020-04-20,"EC",5
2020-04-21,"EC",5
2020-04-22,"EC",5
2020-04-23,"EC",6
2020-04-24,"EC",6
2020-04-25,"EC",10
2020-04-26,"EC",10
2020-04-27,"EC",10
2020-04-28,"EC",10
2020-04-29,"EC",11
2020-04-30,"EC",11
2020-05-01,"EC",11
2020-05-02,"EC",13
2020-05-03,"EC",17
2020-05-04,"EC",17
2020-05-05,"EC",18
2020-05-06,"EC",18
2020-05-07,"EC",18
2020-05-08,"EC",21
2020-05-09,"EC",21
2020-05-10,"EC",22
2020-05-11,"EC",24
2020-05-12,"EC",24
2020-05-13,"EC",24
2020-05-14,"EC",31
2020-05-15,"EC",31
2020-05-16,"EC",32
2020-05-17,"EC",35
2020-05-18,"EC",39
2020-05-19,"EC",41
2020-05-20,"EC",45
2020-05-21,"EC",50
2020-05-22,"EC",53
2020-05-23,"EC",58
2020-05-24,"EC",59
2020-05-25,"EC",61
2020-05-26,"EC",70
2020-05-27,"EC",70
2020-05-28,"EC",77
2020-05-29,"EC",80
2020-05-30,"EC",82
2020-05-31,"EC",82
2020-06-01,"EC",82
2020-06-02,"EC",88
2020-06-03,"EC",95
2020-06-04,"EC",95
2020-06-05,"EC",95
2020-06-06,"EC",101
2020-06-07,"EC",101
2020-06-08,"EC",127
2020-06-09,"EC",138
2020-06-10,"EC",147
2020-06-11,"EC",178
2020-06-12,"EC",208
2020-06-13,"EC",217
2020-06-14,"EC",227
