"Date","Province","Recovered"
2020-04-17,"EC",9
2020-04-18,"EC",9
2020-04-19,"EC",9
2020-04-20,"EC",15
2020-04-21,"EC",15
2020-04-22,"EC",15
2020-04-23,"EC",19
2020-04-24,"EC",19
2020-04-25,"EC",19
2020-04-26,"EC",19
2020-04-27,"EC",19
2020-04-28,"EC",19
2020-05-02,"EC",275
2020-05-03,"EC",275
2020-05-04,"EC",341
2020-05-05,"EC",341
2020-05-06,"EC",388
2020-05-07,"EC",388
2020-05-08,"EC",388
2020-05-10,"EC",519
2020-05-13,"EC",632
2020-05-14,"EC",643
2020-05-15,"EC",643
2020-05-16,"EC",746
2020-05-17,"EC",839
2020-05-18,"EC",839
2020-05-19,"EC",839
2020-05-20,"EC",1036
2020-05-21,"EC",1036
2020-05-22,"EC",1036
2020-05-23,"EC",1036
2020-05-24,"EC",1335
2020-05-25,"EC",1335
2020-05-26,"EC",1491
2020-05-27,"EC",1491
2020-05-28,"EC",1700
2020-05-29,"EC",1700
2020-05-30,"EC",1987
2020-05-31,"EC",1987
2020-06-01,"EC",2123
2020-06-02,"EC",2123
2020-06-03,"EC",2123
2020-06-04,"EC",2460
2020-06-05,"EC",2460
2020-06-06,"EC",2666
2020-06-07,"EC",2666
2020-06-08,"EC",2666
2020-06-09,"EC",3514
2020-06-10,"EC",3647
2020-06-11,"EC",3647
2020-06-12,"EC",4393
2020-06-13,"EC",4559
2020-06-14,"EC",5244
2020-06-15,"EC",5331
2020-06-16,"EC",5475
2020-06-17,"EC",5845
2020-06-18,"EC",6331
2020-06-19,"EC",6331
2020-06-20,"EC",7470
2020-06-21,"EC",7738
2020-06-22,"EC",8035
2020-06-23,"EC",8259
2020-06-24,"EC",9668
2020-06-25,"EC",10439
2020-06-26,"EC",11349
2020-06-27,"EC",12192
2020-06-28,"EC",12567
2020-06-29,"EC",12824
2020-06-30,"EC",14081
2020-07-01,"EC",14384
2020-07-02,"EC",15843
2020-07-03,"EC",17403
2020-07-04,"EC",18980
2020-07-05,"EC",19490
2020-07-06,"EC",19863
2020-07-07,"EC",22022
2020-07-08,"EC",24304
2020-07-09,"EC",24304
2020-07-10,"EC",28903
2020-07-11,"EC",30917
2020-07-12,"EC",31586
2020-07-13,"EC",32083
2020-07-14,"EC",34706
2020-07-15,"EC",37380
2020-07-16,"EC",39865
2020-07-17,"EC",41707
2020-07-18,"EC",43685
2020-07-19,"EC",44317
2020-07-20,"EC",44807
2020-07-21,"EC",47263
2020-07-22,"EC",49938
2020-07-23,"EC",53591
2020-07-24,"EC",55692
2020-07-25,"EC",57531
2020-07-26,"EC",58290
2020-07-27,"EC",58685
2020-07-28,"EC",60745
2020-07-29,"EC",62371
2020-07-30,"EC",63903
2020-07-31,"EC",65512
2020-08-01,"EC",66543
2020-08-02,"EC",68652
2020-08-03,"EC",70074
2020-08-04,"EC",71420
2020-08-05,"EC",72570
2020-04-17,"FS",71
2020-04-18,"FS",71
2020-04-19,"FS",71
2020-04-20,"FS",74
2020-04-21,"FS",74
2020-04-22,"FS",74
2020-04-23,"FS",76
2020-04-24,"FS",76
2020-04-25,"FS",76
2020-04-26,"FS",76
2020-04-27,"FS",76
2020-04-28,"FS",76
2020-05-02,"FS",96
2020-05-03,"FS",96
2020-05-04,"FS",96
2020-05-05,"FS",96
2020-05-06,"FS",102
2020-05-07,"FS",102
2020-05-08,"FS",102
2020-05-10,"FS",105
2020-05-13,"FS",107
2020-05-14,"FS",108
2020-05-15,"FS",108
2020-05-16,"FS",108
2020-05-17,"FS",108
2020-05-18,"FS",108
2020-05-19,"FS",118
2020-05-20,"FS",118
2020-05-21,"FS",118
2020-05-22,"FS",121
2020-05-23,"FS",121
2020-05-24,"FS",121
2020-05-25,"FS",121
2020-05-26,"FS",123
2020-05-27,"FS",123
2020-05-28,"FS",123
2020-05-29,"FS",124
2020-05-30,"FS",123
2020-05-31,"FS",124
2020-06-01,"FS",123
2020-06-02,"FS",123
